amazon_label,n_items,assigned_node,cosine
strainer bags,1,Strainer,0.7507
tissue stand,1,Tissue holder,0.7770
throw sofa,1,Sofa,0.7787
tie rack,1,Hanging rack,0.8103
tiffin,1,Pan,0.4669
tin tote,1,Spoon,0.4205
tins,1,Spoons,0.5439
bedskirt pins,1,Bedskirt,0.7431
beer glass,1,Beverage glass,0.8585
beer mug,1,Mug,0.8506
bed slats,1,Beds,0.6694
bed tray,1,Tray,0.7521
tissue cover,1,Tissue,0.7597
bistro set,1,Biscuit,0.5302
beer stein,1,Beverage,0.4990
bento set,1,Chess set,0.4977
bento tote,1,Candelabra,0.3572
beverage bottles,1,Glass bottles,0.8569
bedding support system,1,Bedding,0.7066
table mat,1,Mat,0.7066
table numbers,1,Table,0.7111
table saw,1,Wooden table,0.6768
beverage container,1,Beverage,0.7668
beverage heater,1,Water heater,0.7142
binder,1,Binder,1.0000
toilet caddy,1,Toilet,0.6306
toilet lid cover,1,Plastic lid,0.6224
toilet paper holder,1,Toilet paper holder,1.0000
toilet paper stand,1,Toilet paper holder,0.8510
toilet plunger,1,Plunger,0.8758
toilet plunger and brush set,1,Plunger,0.5521
toothbrush,1,Toothbrush,1.0000
toothbrush cover,1,Toothbrush holder,0.8023
toilet seat cover,1,Toilet paper holder,0.6456
toilet seat cover set,1,Toilet paper holder,0.5498
toilet set,1,Toilet,0.7458
toilet spray,1,Toilet,0.7376
teapot set,1,Tea set,0.8878
teaspoon,1,Teaspoons,0.8820
temperature control system,1,Air conditioner,0.4450
tool attachment set,1,Tool set,0.7169
tool bar,1,Bar,0.6343
tool box,1,Tool set,0.6588
tool box liner,1,Boxes,0.4778
tools,1,Tool set,0.6408
template,1,Document,0.5251
tent,1,Tent,1.0000
thermostat,1,Heater,0.6205
thickener,1,Strainer,0.4537
throw,1,Throw,1.0000
teaball,1,Teapot,0.7434
filter bag,1,Bag,0.7004
frypan,1,Frying pan,0.6993
gaiwan,1,Shoji screen,0.3879
fruit carver,1,Fruit,0.6570
fruit roll sheets,1,Paper towels,0.5816
fruit roll up sheet,1,Sheet,0.5592
fruit stand,1,Fruit,0.7109
fruit tree,1,Fruit,0.8273
filter paper,1,Paper,0.5832
filter screens,1,Screen,0.5560
fiberbed,1,Mattress,0.5008
file,1,Document,0.6178
file cabinet,1,Storage cabinet,0.7488
file cart,1,Storage cart,0.7207
film,1,Television,0.5764
flatware,1,Kitchenware,0.7543
flatware tray,1,Tray,0.7402
filter basket,1,Basket,0.6897
filter candle,1,Candle,0.7162
floor finish,1,Flooring,0.7064
floor machine,1,Flooring,0.7498
flowers,1,Flowers,1.0000
flutes,1,Drums,0.5588
folder,1,Folder,1.0000
folding board,1,Cutting board,0.6087
finish,1,End table,0.4428
bathmat,1,Bathmat,1.0000
bathroom hardware set,1,Bathroom accessories,0.6278
bathtub caddy,1,Bathtub,0.7572
bathtub strip,1,Bathtub,0.8364
bed frame brackets,1,Bed canopy,0.5243
beads,1,Beads,1.0000
beanbag chair,1,Bean bag chair,0.9428
beater,1,Washer,0.5282
bath wrap,1,Bath products,0.6578
bed raiser,1,Beds,0.6179
bed ruffle,1,Bed,0.6521
bed ruffles,1,Beds,0.6257
bed set,1,Beds,0.7764
bed band,1,Bed,0.6950
bed base,1,Beds,0.7681
bed bridge,1,Bed,0.6554
bed connector,1,Bed canopy,0.5747
toaster oven set,1,Toaster oven,0.8645
toilet bowl brush holder,1,Toilet paper holder,0.7374
toilet brush head,1,Shaving brush,0.6481
toilet brush set,1,Toilet paper holder,0.5817
bed frame legs,1,Beds,0.6468
bed lifters,1,Beds,0.6319
bed rail fittings,1,Beds,0.4482
tubing,1,Bathtub,0.7367
turner,1,Pens,0.4370
tv console,1,Media console,0.7393
tray table,1,Tray,0.8369
treatment,1,Window treatment,0.5420
tree,1,Tree,1.0000
trifle,1,Cot,0.3878
tortilla pans,1,Pans,0.6835
tv swivel board,1,Tv stand,0.5121
umbrella,1,Umbrella,1.0000
umbrellas,1,Umbrella,0.8933
underbed bag,1,Bag,0.6650
utensil clip,1,Utensil holder,0.7931
trolley,1,Wagon,0.5601
tub mat,1,Bath mat,0.8584
tote box,1,Box,0.6915
towel butler,1,Towel,0.6948
toothbrush holders,1,Toothbrush holder,0.9336
tower,1,Brick wall,0.5151
toy,1,Toy,1.0000
toy organizer,1,Toy storage,0.7351
trash bag,1,Bag,0.8135
trash bag holder,1,Plastic bag,0.6744
towel holders,1,Towel holder,0.9295
towel ladder,1,Towel,0.6967
towel ring,1,Towel ring,1.0000
bar rack,1,Rack,0.8637
bar shaker set,1,Shaker,0.5870
waffle plates,1,Plates,0.7247
wall furniture,1,Furniture,0.8518
wall mount,1,Wall mount,1.0000
wall mount shelving,1,Shelving unit,0.8078
bar stool set,1,Bar stools,0.8904
bar tool set,1,Tool set,0.7293
barstool,1,Barstool,1.0000
bar cabinet,1,Wall cabinet,0.7705
bath sheet set,1,Bath mat,0.6306
bath sheets,1,Bath mat,0.7350
bath space saver,1,Bath,0.6183
baster,1,Star,0.4260
basting brush,1,Scrub brush,0.7350
bath accessory set,1,Bathroom accessories,0.7392
bath mat set,1,Bath mat,0.8566
bath mats,1,Bath mat,0.9016
trim kit,1,Cutting board,0.3812
trash can filters,1,Trash can,0.7790
trash can liner,1,Trash can,0.7777
trash container,1,Container,0.7263
tray divider,1,Tray,0.7376
tray set,1,Tray,0.8393
bath rugs,1,Rugs,0.8162
water distiller,1,Water dispenser,0.6596
wash cloth set,1,Washcloth,0.7266
wash cloths,1,Washcloths,0.8804
washcloths,1,Washcloths,1.0000
washing station,1,Washing machine,0.7662
waste bags,1,Waste bin,0.7118
water pump,1,Water bottle,0.5640
water station,1,Water pitcher,0.5660
waterbed heater,1,Water heater,0.8062
waste container,1,Waste bin,0.7658
water cooler,1,Water heater,0.7127
water dispenser,1,Water dispenser,1.0000
vacuum food sealer,1,Vacuum cleaner,0.5342
vacuum sealer roll,1,Roll toilet paper,0.5274
vacuum sealing system,1,Vacuum cleaner,0.5424
utensil pot,1,Cooking utensil,0.8418
vacuum cleaner bag,1,Vacuum cleaner,0.7861
water heater,1,Water heater,1.0000
wall rack,1,Rack,0.8639
wall sticker,1,Stickers,0.7714
vanity table,1,Vanity,0.7525
vase,1,Vase,1.0000
waffle maker,1,Coffee maker,0.5309
vacuum filter bag,1,Vacuum cleaner,0.6061
food cover tents,1,Tent,0.6636
food keeper set,1,Food items,0.5956
food pick,1,Food,0.6609
folding mat,1,Mat,0.6636
fondant mat,1,Flower mat,0.6433
food carrier,1,Food container,0.5817
food storage,1,Food container,0.7370
food storage box,1,Storage box,0.7636
food preparation set,1,Food items,0.6089
food preparation station,1,Food container,0.6037
food press,1,Food,0.5543
food processor attachment,1,Kitchen appliance,0.5052
food ring,1,Food items,0.5945
food savers,1,Food,0.5330
air revitalizer,1,Air conditioner,0.4771
adhesive paper,1,Paper,0.6946
air cleaner,1,Vacuum cleaner,0.7811
air conditioner cover,1,Air conditioner,0.7782
air conditioner support,1,Air conditioner,0.7778
food scale,1,Scale,0.6881
food server,1,Food container,0.6020
apple peeler,1,Apple,0.6593
applicator,1,Toothpaste,0.4351
appliques,1,Bowls,0.4091
apron set,1,Kitchen play set,0.6172
armchair,1,Armchair,1.0000
wine holder,1,Wine bottle,0.7873
wraps,1,Blanket,0.5699
wreath hanger,1,Decorative wreath,0.8256
wine glass tag,1,Wine glass,0.8468
wine glass markers,1,Wine glass,0.7134
accent tables,1,Tables,0.5182
absorber,1,Towel,0.4841
wine glass holders,1,Wine glasses,0.8117
